timestamp,Tweet Volume,Total Sentiment Value,Weighted Sentiment,BTC Value
4/15/2020 18:15,5398,-0.088310594,-476.7005864,6743.063333
4/15/2020 21:30,5176,-0.117820885,-609.8409008,6595.68
4/16/2020 0:45,4207,-0.107518131,-452.3287771,6619.756667
4/16/2020 4:00,3835,-0.132366661,-507.6261449,6756.243333
4/16/2020 7:15,5258,-0.112179653,-589.8406155,7004.68
4/16/2020 10:30,5320,-0.091992377,-489.3994456,7011.533333
4/16/2020 13:45,6762,-0.13820655,-934.5526911,7010.546667
4/16/2020 17:00,5922,-0.107656765,-637.5433623,7026.316667
4/16/2020 20:15,4826,-0.158497686,-764.9098326,7100.82
4/16/2020 23:30,4012,-0.117631935,-471.9393232,7084.123333
4/17/2020 2:45,3736,-0.050378637,-188.2145878,7059.863333
4/17/2020 6:00,4178,-0.141204687,-589.9531823,7054.763333
4/17/2020 9:15,4511,-0.136006782,-613.5265936,7086.43
4/17/2020 12:30,5698,-0.136474493,-777.6316611,7047.906667
4/17/2020 15:45,5672,-0.148509942,-842.348391,7040.436667
4/17/2020 19:00,4943,-0.138947423,-686.8171119,7058.446667
4/17/2020 22:15,3977,-0.230054925,-914.9284367,7078.106667
4/18/2020 1:30,3183,-0.212536085,-676.5023586,7082.973333
4/18/2020 4:45,3336,-0.15824977,-527.9212327,7094.456667
4/18/2020 8:00,3797,-0.08762101,-332.696975,7079.77
4/18/2020 11:15,4933,-0.158243661,-780.6159797,7178.343333
4/18/2020 14:30,5783,-0.122550717,-708.7107964,7203.833333
4/18/2020 17:45,4773,-0.164483302,-785.0788004,7209.076667
4/18/2020 21:00,4390,-0.175180759,-769.043532,7238.793333
4/19/2020 0:15,3437,-0.161801141,-556.1105216,7219.35
4/19/2020 3:30,3343,-0.093095568,-311.2184838,7175.046667
4/19/2020 6:45,3571,-0.08283026,-295.7868585,7158.086667
4/19/2020 10:00,3852,-0.19899502,-766.528817,7151.45
4/19/2020 13:15,5218,-0.074993337,-391.3152325,7114.133333
4/19/2020 16:30,5011,-0.103668395,-519.4823273,7139.11
4/19/2020 19:45,4482,-0.159836811,-716.3885869,7162.576667
4/19/2020 23:00,3597,-0.247823641,-891.4216367,7143.693333
4/20/2020 2:15,3427,-0.158923779,-544.6317906,7175.27
4/20/2020 5:30,3826,-0.163518215,-625.6206906,7157.446667
4/20/2020 8:45,4501,-0.174590807,-785.8332223,7029.82
4/20/2020 12:00,5931,-0.126237783,-748.716291,7028.213333
4/20/2020 15:15,7575,-0.169673817,-1285.279164,6928.866667
4/20/2020 18:30,7701,-0.183883183,-1416.084392,6847.133333
4/20/2020 21:45,4539,-0.202546065,-919.356589,6869.466667
4/21/2020 1:00,3666,-0.116604953,-427.4737577,6869.53
4/21/2020 4:15,3637,-0.184528595,-671.1305,6866.653333
4/21/2020 7:30,4579,-0.141463433,-647.7610597,6828.823333
4/21/2020 10:45,5292,-0.195387592,-1033.991137,6810.713333
4/21/2020 14:00,6505,-0.144949428,-942.8960291,6839.353333
4/21/2020 17:15,6120,-0.132229692,-809.245715,6876.956667
4/21/2020 20:30,4881,-0.171526495,-837.2208221,6860.99
4/21/2020 23:45,3550,-0.193084897,-685.4513844,6857.313333
4/22/2020 3:00,3761,-0.128775775,-484.3256898,6881.513333
4/22/2020 6:15,4415,-0.117906515,-520.5572637,6936.53
4/22/2020 9:30,4718,-0.131901816,-622.3127679,6945.66
4/22/2020 12:45,6363,-0.062844044,-399.876652,7055.846667
4/22/2020 16:00,6338,-0.11367598,-720.4783612,7105.493333
4/22/2020 19:15,5255,-0.13340243,-701.0297697,7103.273333
4/22/2020 22:30,3937,-0.138209663,-544.1314432,7138.866667
4/23/2020 1:45,3855,-0.108263095,-417.3542312,7134.676667
4/23/2020 5:00,4013,-0.111482075,-447.377567,7079.7
4/23/2020 8:15,4138,-0.154477887,-639.2294964,7080.243333
4/23/2020 11:30,7081,-0.11434327,-809.6646949,7413.086667
4/23/2020 14:45,7638,-0.107351373,-819.949787,7534.78
4/23/2020 18:00,6120,-0.156935012,-960.4422734,7539.553333
4/23/2020 21:15,4877,-0.094554138,-461.140531,7512.546667
4/24/2020 0:30,3911,-0.055023885,-215.1984142,7515.626667
4/24/2020 3:45,3597,-0.120883867,-434.8192696,7522.406667
4/24/2020 7:00,4733,-0.05687661,-269.1969951,7553.336667
4/24/2020 10:15,5036,-0.051417075,-258.9363897,7516.98
4/24/2020 13:30,6250,-0.085984168,-537.40105,7477.146667
4/24/2020 16:45,5797,-0.14085467,-816.534522,7519.436667
4/24/2020 20:00,5109,-0.156278805,-798.4284147,7509.23
4/24/2020 23:15,3614,-0.114803753,-414.9007633,7482.06
4/25/2020 2:30,2943,-0.220350979,-648.4929312,7520.226667
4/25/2020 5:45,3980,-0.232241293,-924.3203461,7556.696667
4/25/2020 9:00,4190,-0.190399702,-797.7747514,7552.123333
