timestamp,BTC Value
1/24/2020 20:00,8455.29
1/24/2020 23:15,8347.91
1/25/2020 2:30,8317.946667
1/25/2020 5:45,8351.47
1/25/2020 9:00,8332.083333
1/25/2020 12:15,8328
1/25/2020 15:30,8342.04
1/25/2020 18:45,8382.783333
1/25/2020 22:00,8353.82
1/26/2020 1:15,8356.103333
1/26/2020 4:30,8366.576667
1/26/2020 7:45,8426.733333
1/26/2020 11:00,8452.103333
1/26/2020 14:15,8535.683333
1/26/2020 17:30,8583.883333
1/26/2020 20:45,8596.69
1/27/2020 0:00,8658.896667
1/27/2020 3:15,8655.66
1/27/2020 6:30,8631.776667
1/27/2020 9:45,8710.676667
1/27/2020 13:00,8768.38
1/27/2020 16:15,8887.043333
1/27/2020 19:30,8934.093333
1/27/2020 22:45,9061.086667
1/28/2020 2:00,9082.07
1/28/2020 5:15,9003.956667
1/28/2020 8:30,9047.68
1/28/2020 11:45,9076.013333
1/28/2020 15:00,8995.406667
1/28/2020 18:15,9056.153333
1/28/2020 21:30,9262.81
1/29/2020 0:45,9339.13
1/29/2020 4:00,9350.623333
1/29/2020 7:15,9341.783333
1/29/2020 10:30,9335.26
1/29/2020 13:45,9332.93
1/29/2020 17:00,9372.763333
1/29/2020 20:15,9362.436667
1/29/2020 23:30,9271.223333
1/30/2020 2:45,9308.723333
1/30/2020 6:00,9350.953333
1/30/2020 9:15,9358.14
1/30/2020 12:30,9372.98
1/30/2020 15:45,9430.19
1/30/2020 19:00,9528.546667
1/30/2020 22:15,9506.69
1/31/2020 1:30,9431.826667
1/31/2020 4:45,9375.223333
1/31/2020 8:00,9353.913333
1/31/2020 11:15,9270.786667
1/31/2020 14:30,9294.69
1/31/2020 17:45,9312.346667
1/31/2020 21:00,9371.716667
2/1/2020 0:15,9415.666667
2/1/2020 3:30,9410.866667
2/1/2020 6:45,9396.96
2/1/2020 10:00,9348.056667
2/1/2020 13:15,9346.376667
2/1/2020 16:30,9382.386667
2/1/2020 19:45,9377.676667
2/1/2020 23:00,9312.72
2/2/2020 2:15,9278.043333
2/2/2020 5:30,9349.56
2/2/2020 8:45,9411.66
2/2/2020 12:00,9430.183333
2/2/2020 15:15,9434.023333
2/2/2020 18:30,9437.453333
2/2/2020 21:45,9385.323333
2/3/2020 1:00,9422.153333
2/3/2020 4:15,9382.36
2/3/2020 7:30,9350.806667
2/3/2020 10:45,9339.93
2/3/2020 14:00,9295.156667
2/3/2020 17:15,9310.906667
2/3/2020 20:30,9297.673333
2/3/2020 23:45,9309.873333
2/4/2020 3:00,9278.613333
2/4/2020 6:15,9237.19
2/4/2020 9:30,9165.91
2/4/2020 12:45,9181.593333
2/4/2020 16:00,9197.496667
2/4/2020 19:15,9177.873333
2/4/2020 22:30,9212.66
2/5/2020 1:45,9223.18
2/5/2020 5:00,9261.876667
2/5/2020 8:15,9345.006667
2/5/2020 11:30,9428.143333
2/5/2020 14:45,9517.146667
2/5/2020 18:00,9661.646667
2/5/2020 21:15,9607.956667
2/6/2020 0:30,9587.533333
2/6/2020 3:45,9641.903333
2/6/2020 7:00,9656.743333
2/6/2020 10:15,9776.473333
2/6/2020 13:30,9768.24
2/6/2020 16:45,9762.02
2/6/2020 20:00,9737.67
2/6/2020 23:15,9809.546667
2/7/2020 2:30,9791.266667
2/7/2020 5:45,9776.09
2/7/2020 9:00,9800.26
2/7/2020 12:15,9799.82
2/7/2020 15:30,9800.693333
2/7/2020 18:45,9768.126667
2/7/2020 22:00,9789.523333
2/8/2020 1:15,9735.836667
2/8/2020 4:30,9760.41
2/8/2020 7:45,9798.39
2/8/2020 11:00,9809.726667
2/8/2020 14:15,9853.683333
2/8/2020 17:30,9856.483333
2/8/2020 20:45,9896.036667
2/9/2020 0:00,9951.84
2/9/2020 3:15,10067.93667
2/9/2020 6:30,10106.43333
2/9/2020 9:45,10105.24
2/9/2020 13:00,10089.13667
2/9/2020 16:15,10091.09667
2/9/2020 19:30,10098.82
2/9/2020 22:45,10143.33667
2/10/2020 2:00,10081.91333
2/10/2020 5:15,9958.18
2/10/2020 8:30,9833.673333
2/10/2020 11:45,9853.54
2/10/2020 15:00,9866.02
2/10/2020 18:15,9843.953333
2/10/2020 21:30,9826.53
2/11/2020 0:45,9762.18
2/11/2020 4:00,9754.17
2/11/2020 7:15,9774.113333
2/11/2020 10:30,9844.41
2/11/2020 13:45,10122.98
2/11/2020 17:00,10231.58667
2/11/2020 20:15,10203.35667
2/11/2020 23:30,10224.96333
2/12/2020 2:45,10265.07333
2/12/2020 6:00,10305.18333
2/12/2020 9:15,10304.45333
2/12/2020 12:30,10326.32667
2/12/2020 15:45,10337.71667
2/12/2020 19:00,10359.04667
2/12/2020 22:15,10354.29
2/13/2020 1:30,10397.07333
2/13/2020 4:45,10390.29333
2/13/2020 8:00,10222.32333
2/13/2020 11:15,10294.83333
2/13/2020 14:30,10231.81667
2/13/2020 17:45,10227.71
2/13/2020 21:00,10217.46
2/14/2020 0:15,10252.57667
2/14/2020 3:30,10214.33667
2/14/2020 6:45,10191.76667
2/14/2020 10:00,10255.47
2/14/2020 13:15,10290.75667
2/14/2020 16:30,10320.62667
2/14/2020 19:45,10341.00667
2/14/2020 23:00,10275.63667
2/15/2020 2:15,10246.70333
2/15/2020 5:30,10231.64333
2/15/2020 8:45,10241.81
2/15/2020 12:00,10233.74667
2/15/2020 15:15,9991.09
2/15/2020 18:30,9908.106667
2/15/2020 21:45,9906.66
2/16/2020 1:00,9988.746667
2/16/2020 4:15,9978.986667
2/16/2020 7:30,9974.543333
2/16/2020 10:45,9924.096667
2/16/2020 14:00,9808.203333
2/16/2020 17:15,9771.283333
2/16/2020 20:30,9887.55
2/16/2020 23:45,9879.07
2/17/2020 3:00,9784.986667
2/17/2020 6:15,9786.11
2/17/2020 9:30,9674.286667
2/17/2020 12:45,9584.76
2/17/2020 16:00,9647.513333
2/17/2020 19:15,9652.49
2/17/2020 22:30,9700.993333
2/18/2020 1:45,9761.823333
2/18/2020 5:00,9782.94
2/18/2020 8:15,9709.626667
2/18/2020 11:30,9660.46
2/18/2020 14:45,9853.28
2/18/2020 18:00,10133.59667
2/18/2020 21:15,10131.17667
2/19/2020 0:30,10141.51
2/19/2020 3:45,10097.66333
2/19/2020 7:00,10088.33667
2/19/2020 10:15,10130.10667
2/19/2020 13:30,10142.4
2/19/2020 16:45,10175.32
2/19/2020 20:00,9736.77
2/19/2020 23:15,9593.543333
2/20/2020 2:30,9554.92
2/20/2020 5:45,9583.12
2/20/2020 9:00,9590.006667
2/20/2020 12:15,9576.373333
2/20/2020 15:30,9559.446667
2/20/2020 18:45,9582.68
2/20/2020 22:00,9610.45
2/21/2020 1:15,9674.01
2/21/2020 4:30,9676.603333
2/21/2020 7:45,9667.573333
2/21/2020 11:00,9716.013333
2/21/2020 14:15,9701.24
2/21/2020 17:30,9669.673333
2/21/2020 20:45,9677.566667
2/22/2020 0:00,9668.36
2/22/2020 3:15,9606.286667
2/22/2020 6:30,9615.95
2/22/2020 9:45,9639.746667
2/22/2020 13:00,9630.2
2/22/2020 16:15,9646.733333
2/22/2020 19:30,9674.28
2/22/2020 22:45,9663.683333
2/23/2020 2:00,9803.003333
2/23/2020 5:15,9872.386667
2/23/2020 8:30,9893.213333
2/23/2020 11:45,9867.886667
2/23/2020 15:00,9870.976667
2/23/2020 18:15,9872.59
2/23/2020 21:30,9936.686667
2/24/2020 0:45,9790.736667
2/24/2020 4:00,9712.243333
2/24/2020 7:15,9726.146667
2/24/2020 10:30,9773.603333
2/24/2020 13:45,9705.333333
2/24/2020 17:00,9590.396667
2/24/2020 20:15,9621.366667
2/24/2020 23:30,9615.913333
2/25/2020 2:45,9571.3
2/25/2020 6:00,9548.333333
2/25/2020 9:15,9596.336667
2/25/2020 12:30,9474.996667
2/25/2020 15:45,9373.193333
2/25/2020 19:00,9365.056667
2/25/2020 22:15,9287.913333
2/26/2020 1:30,9173.68
2/26/2020 4:45,9172.28
2/26/2020 8:00,9170.543333
2/26/2020 11:15,9093.19
2/26/2020 14:30,8811.873333
2/26/2020 17:45,8782.126667
2/26/2020 21:00,8765.373333
2/27/2020 0:15,8656.383333
2/27/2020 3:30,8764.346667
2/27/2020 6:45,8782.306667
2/27/2020 10:00,8834.173333
2/27/2020 13:15,8880.436667
2/27/2020 16:30,8906.796667
2/27/2020 19:45,8798.106667
2/27/2020 23:00,8842.073333
2/28/2020 2:15,8818.86
2/28/2020 5:30,8753.133333
2/28/2020 8:45,8627.403333
2/28/2020 12:00,8604.596667
2/28/2020 15:15,8586.953333
2/28/2020 18:30,8621.923333
2/28/2020 21:45,8715.233333
